rating_count_tot,rating_count_ver,user_rating,user_rating_ver,prime_genre,sup_devices.num,lang.num,SizeCatg,PriceCatg
21292,26,3,4.5,5,38,10,1,1
161065,26,3,3.5,1,37,23,1,0
188583,2822,2,4.5,1,37,3,1,0
262241,649,3,4.5,1,37,9,1,0
985920,5320,3,5.0,1,37,45,0,0
8253,5516,3,4.0,5,47,1,0,1
119487,879,3,4.5,1,37,19,1,0
1126879,3594,3,4.5,1,37,1,1,0
1117,4,3,5.0,1,37,1,0,1
7885,40,3,4.0,5,38,10,0,1
76720,4017,3,4.5,5,38,11,0,1
105776,166,2,2.5,5,37,6,1,1
479440,203,2,4.0,1,37,33,1,0
119773,2336,2,4.5,1,37,2,1,0
6340,668,3,4.5,5,38,2,0,1
56194,87,3,3.5,1,37,26,1,0
2974676,212,2,3.5,1,37,29,2,0
223885,3726,3,4.5,1,37,18,1,0
402925,136,3,4.5,1,37,16,1,0
31456,4178,3,3.5,5,47,1,0,1
2929,966,3,4.5,1,43,2,0,1
11447,781,3,5.0,5,40,1,0,1
137951,131,3,4.5,1,37,6,1,0
8,0,3,0.0,1,37,3,0,1
3241,297,3,4.0,1,43,10,0,1
5795,12,2,4.0,1,37,11,1,0
42316,248,2,3.5,5,38,1,0,0
123215,25,2,5.0,1,37,23,1,0
782,7,3,3.5,1,43,1,0,1
3449,23,3,4.5,1,37,1,1,1
71856,62,2,4.5,1,37,23,1,0
13350,489,3,5.0,1,38,15,0,1
137,0,2,0.0,2,37,1,0,1
180087,1101,2,4.5,5,37,5,1,0
33426,299,3,5.0,1,37,3,0,1
293228,110,3,3.0,1,37,2,1,0
21609,69,2,2.5,2,40,1,0,1
4684,10,3,4.0,1,37,9,0,1
2104,0,3,0.0,1,37,1,0,1
41633,6,3,3.0,5,37,1,0,1
3610,7,3,5.0,1,37,1,0,1
4677,12,2,4.0,1,37,21,1,0
30,0,2,0.0,1,37,2,0,1
48905,2691,3,4.5,1,37,12,1,0
32,0,2,0.0,1,38,7,0,1
446185,1359,2,3.5,1,43,30,0,0
21825,10,2,4.0,2,37,1,0,1
508808,99,2,4.5,5,38,10,1,0
57500,103,2,4.0,1,37,1,0,0
2576,4,3,5.0,5,38,1,0,1
1572,34,3,4.5,1,37,13,0,1
3292,2,2,5.0,1,37,2,0,1
8932,55,3,5.0,1,37,12,1,1
495626,5893,2,4.5,1,37,33,1,0
812,14,2,4.0,1,38,7,0,1
1583,2,2,4.5,1,37,1,0,1
113936,150,3,5.0,1,37,6,0,0
2027,2,3,5.0,2,37,33,0,1
768,4,3,4.0,1,37,3,0,1
373835,402,3,4.5,1,37,1,1,0
108131,13,2,2.0,1,37,1,1,0
18943,1787,2,4.5,5,47,1,0,1
126312,22,2,3.0,1,37,8,1,0
35735,378,3,4.5,5,40,0,0,1
410,7,2,2.5,1,37,1,0,1
1390,143,3,5.0,1,37,33,0,2
38,2,2,5.0,1,37,4,0,0
233270,14625,3,4.5,1,37,2,0,0
64,0,3,0.0,1,37,2,1,2
109349,1540,2,5.0,1,37,1,0,0
2229,4,2,1.0,1,37,1,1,0
14970,24,2,4.5,1,37,1,0,1
144214,2162,2,4.0,1,37,43,1,0
232940,683,3,4.5,1,37,1,1,0
48407,20,2,3.5,1,37,1,0,0
5531,37,2,2.5,1,40,13,0,1
3393,77,3,4.0,1,43,1,0,1
65016,274,2,5.0,1,38,17,0,0
187529,1071,3,4.0,2,43,1,1,1
33969,466,2,5.0,1,37,17,1,0
48822,193,2,4.0,1,37,1,1,0
59155,101,3,2.5,5,40,1,0,1
252076,80,2,4.5,1,37,9,1,0
4913,1,3,4.0,5,37,15,0,1
1744,0,2,0.0,1,37,1,1,0
16567,1155,3,4.5,5,43,1,0,1
187315,9,1,4.0,5,37,9,1,0
4781,1,3,5.0,1,37,10,0,1
94,4,3,4.5,5,37,1,0,1
29554,55,3,5.0,1,37,3,0,1
32988,2489,3,4.0,5,47,1,0,1
